Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Africa Eastern and Southern,"AFE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","43.3020925824111","43.562526357228","45.7787042671742","45.8810527809186","45.9780444690021","46.0506179101141","46.1616694417186","46.2460594392602","46.3695581728234","46.4191789506879","46.4569755495826"
Africa Western and Central,"AFW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","39.0095392768783","39.1357633614791","39.4490886800254","39.7458531602582","39.9207438164536","40.2124235942064","40.3000928388707","40.475866835143","40.8043266583976","40.9488697428069","41.1203255554806"
Arab World,"ARB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","36.4665491390722","36.4871185243823","39.8188551016344","39.8705697485443","39.8379996213891","39.8708634110015","39.9363858970886","39.9852153767825","39.9708602889899","39.9077871346411","39.9687286082438"
Caribbean small states,"CSS","Agricultural land (% of land area)","AG.LND.AGRI.ZS","3.57551136795767","3.58052984083085","3.56346703306203","3.58730477920965","3.59859634317432","3.61816838737974","3.61565915094314","3.61314991450655","3.61314991450655","3.61816838737974","3.62318686025292"
Central Europe and the Baltics,"CEB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","47.0522120681448","47.2142049195397","46.8803414197218","46.9565221325583","46.8621980917691","46.9550718027164","46.6831370243936","46.6336578921674","46.7211321228008","47.1607908068912","46.3028102508104"
Early-demographic dividend,"EAR","Agricultural land (% of land area)","AG.LND.AGRI.ZS","39.7780201284523","39.7665987814985","39.7454510002877","39.6868465850584","39.5784288000232","39.609522739982","39.5559691732663","39.579729951588","39.5579109824907","39.7348309082041","39.8510935330681"
East Asia & Pacific,"EAS","Agricultural land (% of land area)","AG.LND.AGRI.ZS","47.6464243698049","48.4759286630556","48.0882545186299","47.4668359775749","47.5502629293828","46.5157122685507","46.2548054425342","47.5330196131851","46.9918689743847","47.1073433038964","46.8123125830232"
East Asia & Pacific (excluding high income),"EAP","Agricultural land (% of land area)","AG.LND.AGRI.ZS","48.1535869297501","48.1936260077357","48.1763537604949","48.1917589759047","48.1558151508642","48.246137434057","48.230899057343","48.36051000241","48.3547150908994","48.3201144686903","48.3027668027108"
East Asia & Pacific (IDA & IBRD countries),"TEA","Agricultural land (% of land area)","AG.LND.AGRI.ZS","48.3493758012172","48.3923136998798","48.3749609042246","48.3904890584065","48.3544049366536","48.4453183766427","48.4317349601803","48.5626567689239","48.5567835101683","48.5221201586343","48.504528532633"
Euro area,"EMU","Agricultural land (% of land area)","AG.LND.AGRI.ZS","44.3065393058953","43.8745186580784","43.729667910899","43.6181861871726","43.0327454805402","42.9803491996728","42.741285150813","42.7262149953053","42.5122403516899","42.812102371831","42.4270924905662"
Europe & Central Asia,"ECS","Agricultural land (% of land area)","AG.LND.AGRI.ZS","29.4189166319454","29.3304393520078","29.2932725777245","29.2702102407274","29.2139345789141","29.1781486482719","29.1416284568934","29.1274734153605","29.0765622008237","29.2629663515846","29.1960571455365"
Europe & Central Asia (excluding high income),"ECA","Agricultural land (% of land area)","AG.LND.AGRI.ZS","67.7601556032929","67.5253167417636","67.5090443991931","67.4651234598205","67.4985722463657","67.3496193759684","67.3104990239317","67.2331470919822","67.1051723956214","67.7343777319299","67.819782608232"
Europe & Central Asia (IDA & IBRD countries),"TEC","Agricultural land (% of land area)","AG.LND.AGRI.ZS","28.3125895636356","28.2600417114585","28.2360652639446","28.2318274171304","28.2324529086689","28.2040653601794","28.1802698665335","28.1562426594153","28.126690671021","28.30804641255","28.3001805073015"
European Union,"EUU","Agricultural land (% of land area)","AG.LND.AGRI.ZS","42.4037795916086","42.1621382174587","41.9299427440749","41.8162303479118","41.394354095904","41.3490029398495","41.1031537631035","41.0935847175088","40.9653304909725","41.2743552952453","40.7796713967613"
Fragile and conflict affected situations,"FCS","Agricultural land (% of land area)","AG.LND.AGRI.ZS","32.9988980121418","33.1981331514747","36.1236307138837","36.2680481294551","36.3616692404815","36.4390147428902","36.5637354495498","36.6748252354521","36.7817737084135","36.823781929074","36.9084955652092"
Heavily indebted poor countries (HIPC),"HPC","Agricultural land (% of land area)","AG.LND.AGRI.ZS","37.1657205682977","37.3812763281112","39.7634162808445","40.0062634876552","40.1684386055446","40.3586422382444","40.450980918155","40.607790638563","40.8314342630611","40.9383760157158","41.0471335432254"
High income,"HIC","Agricultural land (% of land area)","AG.LND.AGRI.ZS","28.5672420171619","28.910101050566","28.7514560058269","28.4541230702621","28.4772835037384","27.9620161717075","27.8330554062426","28.3978298072899","28.1021277437927","28.158937023124","27.9412793814311"
IBRD only,"IBD","Agricultural land (% of land area)","AG.LND.AGRI.ZS","36.0415416686042","36.019110254085","36.0097154016215","36.0192468424172","35.9448899265898","35.9693947418905","35.9254813833453","35.9023579317526","35.824026768982","35.8269607756833","35.8162435273847"
IDA & IBRD total,"IBT","Agricultural land (% of land area)","AG.LND.AGRI.ZS","36.6868861483907","36.7222211342309","37.2663341409472","37.3176118489089","37.2974646950329","37.3554240477931","37.355448892893","37.3757040429182","37.3669617651601","37.3817782557037","37.4051352954114"
IDA blend,"IDB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","44.1282265177484","44.4442372182112","44.6971624028422","44.7493145553493","44.9009059127022","45.1620429030025","45.2735275235573","45.4151816557444","45.8170444198074","45.6952977204496","45.9456982077238"
IDA only,"IDX","Agricultural land (% of land area)","AG.LND.AGRI.ZS","37.2026885814076","37.389755940637","39.8435047369325","40.0394753491929","40.1664448669797","40.2900025771438","40.4158131246543","40.5570427801633","40.6911552819133","40.7800674292181","40.8668438104436"
IDA total,"IDA","Agricultural land (% of land area)","AG.LND.AGRI.ZS","38.6914294451798","38.906173971542","40.7836959841701","40.9518100809061","41.0835933337325","41.2345782007452","41.3576197665299","41.4989346781288","41.6849608822244","41.7330253333978","41.8515432909684"
Late-demographic dividend,"LTE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","34.5719905809945","34.5548418527446","34.557178015478","34.6042360023339","34.5646021557795","34.5836343873206","34.575970092195","34.5390913950941","34.4434535621907","34.305658765095","34.228177183671"
Latin America & Caribbean,"LCN","Agricultural land (% of land area)","AG.LND.AGRI.ZS","33.3623548426859","33.2843242616755","33.283934250359","33.2875858596914","33.082276581794","33.1314835316356","32.9948854654513","32.8342708592751","32.5959803797659","32.4569521312077","32.4346554641747"
