Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","1943.34335385842","2205.70392004668","2147.72007489055","2603.56945325041","2405.39309898777","2212.87133969149","2132.76301009605","2327.54405209409","2502.55681850864","2553.9362279242","2642.69442510916"
Algeria,"DZA","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","1010.71519484951","1115.96836018472","1229.34165460568","1269.79181719163","1353.09164785509","1438.57265286655","1470.35348531547","1554.49963310729","1568.47300560981","1651.17795668766","1591.97709300405"
American Samoa,"ASM","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"AND","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","206.998764747106","206.950497705211","271.711996881012","276.087476620084","310.374128214116","306.167406982606","331.664900231538","315.199297075801","370.736573340292","411.266102851676","439.11817393803"
Antigua and Barbuda,"ATG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"ARG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","2777.73377864652","2880.78357735056","2917.62283612664","2940.92954480901","3036.20733612121","3140.46420669387","3104.98925144338","3005.76483124641","2971.34364838317","2876.71852724712","2827.42739776861"
Armenia,"ARM","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","1631.30583289543","1716.70134416592","1804.50381931814","1851.75380542687","1895.28170416086","1909.40557811356","1889.85061658256","2006.10861247231","1938.69989895588","2084.05063291139","2114.13135235523"
Aruba,"ABW","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
