Country Name,"Country Code","Series Name","Series Code","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","NA","174.930991430166","138.706821676113","178.954088379235","198.871115728727","221.763653873013","254.184249149336","274.218553561575","376.223152003876","381.73323802844","452.053705477043","560.621505463146","606.694676337726","651.417134470046","637.087099117099","625.054941813938","565.569730408751","522.082215583898","525.469770891619","491.337221382603","496.6025042585","510.787063366811"
Albania,"ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1056.34481153033","1160.42047054038","1326.41652388077","1479.83884572006","1908.69900687608","2446.90949947798","2741.72136549578","3057.77257038113","3743.05529896187","4498.50486763601","4213.65007574693","4149.14469936847","4465.70914328865","4280.93316338873","4542.92903556739","4793.59751131525","4199.53912925398","4457.63412207495","5006.36012951959","5897.65452588774","6069.43903131027","6027.91350716348"
Algeria,"DZA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1596.11822239025","1772.92869122761","1896.30020878013","1937.46411413019","2283.77299346126","2816.99384960555","3233.13339634212","3660.66104745322","4167.45169937531","5180.91881514686","4235.42990456612","4912.78585503672","5916.31364364343","6033.64884689543","5979.60138960585","6094.69392314956","4685.05902729002","4424.98529027556","4554.66753957828","4577.21029180491","4468.45341883656","3743.5419522929"
American Samoa,"ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","NA","NA","NA","8972.69636535698","9197.66196836987","8958.42866697173","8831.26975996609","8745.16621137404","9231.37240924563","10030.8089130902","12156.0293905777","10375.1720141957","10383.459331451","11745.4899153958","11813.5022034589","12026.3344929488","12727.4102651386","12843.3342903627","11863.6839452565","12552.0546868861","12886.1359517218","14489.2586563775"
Andorra,"AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","18875.2883698571","21810.2503808666","23511.2969500881","26528.1300628236","34063.575598394","39021.1107100919","40829.8116399538","43467.1963063068","48336.2548304926","49132.4925840057","43975.0000888133","42746.830391567","46657.1495384811","41500.5499988288","42470.3230369366","44369.6712976777","38654.95287916","40129.8385811474","40672.9717424447","42819.7577456133","41257.816459345","37361.1070081615"
Angola,"AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","392.725539027496","563.733795571487","533.586202412447","999.065855913758","1133.66331960607","1451.47117872493","2145.88621096327","2930.4442860732","3515.05678986535","4578.15526451517","3645.14846562976","4101.63715566712","5184.15269149912","5702.45306277434","5688.57916215215","5649.68762469139","3641.72893919944","2051.81462126253","2790.71886869768","2860.0936483682","2493.67884440177","1759.35619918264"
Antigua and Barbuda,"ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","11342.3349230913","12027.4949768222","11539.1825063308","11658.6949915956","12173.2319860305","13037.8895772257","14368.5708796058","16173.8136329968","18204.5124043068","18786.6743142216","16472.2478528568","15217.3950790922","14911.7275084471","15639.8078114787","15051.5113587425","15532.1062063584","16077.6340769406","16556.8551801588","16965.7288273816","18273.4270684912","18896.3721832248","15369.6082250401"
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","7705.54288252851","7637.01489203628","7141.47507662826","2569.69963519124","3320.47775133903","4242.02099089422","5067.65342293276","5869.38028970204","7185.25155147027","8944.1102657357","8150.23527028221","10260.1313108254","12704.2831819684","12949.717486654","12963.675773326","12233.1444119186","13679.6264980954","12699.9623137756","14532.5009308511","11752.7998922979","9955.97478680428","8535.59938004389"
Armenia,"ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","582.669886150895","593.450581742282","659.588988535629","742.651118319819","882.030167695474","1130.08791444158","1557.48458908655","2041.65267068997","2962.70234594569","3777.66859313767","2820.5926553347","3041.34450723339","3349.55309771906","3511.56399687426","3680.16692158886","3852.11800610384","3512.39350276709","3524.42476874707","3869.05373867752","4196.00562301769","4597.22887399548","4268.68093304583"
Aruba,"ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","19216.1972354472","20681.0230269625","20740.1325828172","21307.2482505267","21949.4859960868","23700.6319899197","24171.8371325422","24845.65848362","26736.3089444046","28171.9094008501","25134.7712303589","24093.1401510626","25712.3843015186","25119.6655449838","25813.5714408438","26129.8390617693","27458.2201537506","27441.5502144601","28440.0416881491","30082.1584226798","30645.8906024548","22759.8071750722"
Australia,"AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","20749.6443779096","21908.9968019784","19733.6510102645","20335.0960191023","23757.5898471684","30886.0500949401","34535.20727091","36658.8243476122","41128.2476618402","49811.2067218988","42954.8494884573","52313.8939041213","62799.3895017032","68301.4402512587","68476.6788496118","62817.2061751737","56970.3613028094","50084.4440606385","54117.547718609","57410.1737346009","55194.7585097428","51983.4523666382"
Austria,"AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","27078.7081612201","24487.2974685956","24430.495982841","26334.862215032","32110.1159661425","36614.2506533707","38157.37022862","40382.2078298575","46622.9622913635","51581.3982361071","47857.4446635266","46611.1393420232","51116.8953522042","48250.4059142637","50305.3545774973","51314.9722616322","43915.228020857","45061.4993920192","47163.7425775142","51194.0749841299","49885.9947355204","48716.4098900349"
Azerbaijan,"AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","573.893528734031","655.097249579917","703.670998584686","763.108895463487","883.692580745256","1045.0136328106","1578.36733030667","2472.95725732287","3851.33015175141","5574.46810432575","4950.39949009423","5843.5337683582","7189.81869211976","7495.86527658099","7875.34536661549","7890.84028062087","5500.50364628486","3880.6852276838","4147.1981423222","4739.7943123408","4805.75371765917","4229.91064904503"
"Bahamas, The","BHS","GDP per capita (current US$)","NY.GDP.PCAP.CD","24041.0933188158","24940.0775086078","25371.9237667614","26781.6195938652","26429.1247787663","26650.2934234303","28602.4181869995","29184.7865087908","30051.8489587756","29392.3824416397","27512.9130950084","27473.100430502","27090.8376801379","28552.0242683151","27642.7419759179","29137.2175632622","30719.405417469","30616.5363157284","31875.4881749619","32642.3353203452","33640.3369861278","26178.7537607708"
Bahrain,"BHR","GDP per capita (current US$)","NY.GDP.PCAP.CD","12123.3534715368","14214.4836839343","13573.2339887597","13501.4708801425","14486.0269029822","15963.9493171617","17966.1657837625","19267.282615072","20908.4042548073","23299.4992780392","19465.3140745038","21819.3291098099","25032.7867743333","26438.6733230428","26989.7601148469","26451.7965647453","23734.0551143019","23800.001440631","24784.7693514607","26324.4066549559","27259.7438599327","24342.8444554718"
Bangladesh,"BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","388.095684268235","396.670730249751","394.65641001891","393.886422327628","426.74880754362","455.614016909798","480.08585075452","490.388026533289","537.955492792911","613.06204104124","679.211477428056","757.385280361508","837.336944695647","859.680536375497","958.262989798283","1094.46199702838","1224.38647668165","1649.28380858601","1811.08221668646","1965.24372731467","2129.79896954606","2248.85078828233"
