Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","School enrollment, secondary (% gross)","SE.SEC.ENRR","50.4406204223633","52.4474296569824","54.372859954834","54.8833694458008","54.2936515808105","53.1501083374023","53.4350395202637","55.5364303588867","57.3578491210938","NA","NA"
Albania,"ALB","School enrollment, secondary (% gross)","SE.SEC.ENRR","93.6818237304688","95.4705276489258","97.6086120605469","102.903209514161","103.321377531566","102.440729325166","99.170755047578","97.5743697537481","98.822387862215","99.01515356567","95.9294474518951"
Algeria,"DZA","School enrollment, secondary (% gross)","SE.SEC.ENRR","100.739776611328","103.184272766113","NA","NA","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"ASM","School enrollment, secondary (% gross)","SE.SEC.ENRR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"AND","School enrollment, secondary (% gross)","SE.SEC.ENRR","85.1478881835938","85.8587875366211","86.870361328125","86.4044036865234","88.978157043457","91.2962188720703","94.6524124145508","95.1090393066406","95.9804306030273","96.2081298828125","97.1500396728516"
Angola,"AGO","School enrollment, secondary (% gross)","SE.SEC.ENRR","28.2108038778932","29.6869517832747","NA","NA","NA","NA","54.4167987304753","NA","NA","NA","NA"
Antigua and Barbuda,"ATG","School enrollment, secondary (% gross)","SE.SEC.ENRR","115.466743469238","116.185371398926","117.228363037109","NA","115.270439147949","117.55770111084","NA","117.209930419922","121.685249328613","NA","NA"
Argentina,"ARG","School enrollment, secondary (% gross)","SE.SEC.ENRR","99.0709991455078","100.884559631348","102.709991455078","104.540863037109","106.038902282715","107.504867553711","109.598327636719","110.377799987793","109.671241760254","110.460151672363","112.376731872559"
Armenia,"ARM","School enrollment, secondary (% gross)","SE.SEC.ENRR","107.732391357422","94.8774032592773","NA","86.8721923828125","86.5204010009766","86.442138671875","NA","NA","83.0249410833595","86.8260633029699","88.5080298201293"
Aruba,"ABW","School enrollment, secondary (% gross)","SE.SEC.ENRR","98.2207412719727","96.633918762207","108.976188659668","NA","NA","NA","NA","NA","137.829788208008","139.320587158203","135.124725341797"
Australia,"AUS","School enrollment, secondary (% gross)","SE.SEC.ENRR","NA","NA","NA","NA","NA","159.110763549805","155.594390869141","153.576126098633","136.105545043945","144.056564331055","137.490737915039"
Austria,"AUT","School enrollment, secondary (% gross)","SE.SEC.ENRR","100.263969421387","99.6729583740234","100.108726501465","101.173210144043","101.304809570312","101.411582946777","100.227989196777","100.337898254395","100.692596435547","101.543632507324","101.690559387207"
Azerbaijan,"AZE","School enrollment, secondary (% gross)","SE.SEC.ENRR","83.0853181521079","82.9176205382172","82.762274922741","83.1376553563209","83.4386600193183","84.8098586425184","86.5856935803605","89.2625164667822","108.488781124","107.863960509557","91.365513501165"
"Bahamas, The","BHS","School enrollment, secondary (% gross)","SE.SEC.ENRR","91.0886370856719","89.2416368950958","92.1807628524046","84.6595407759303","91.6218404766036","76.0440338812974","85.0686327399149","92.6182585115999","80.8808929269834","78.566734376867","NA"
Bahrain,"BHR","School enrollment, secondary (% gross)","SE.SEC.ENRR","90.1969414818577","93.2938990893653","98.4732914840696","107.610472634995","104.203846916518","100.303914816394","100.583649344321","100.923412884105","100.701887411111","102.128281941881","NA"
Bangladesh,"BGD","School enrollment, secondary (% gross)","SE.SEC.ENRR","49.5031106793162","49.7515496494472","51.6718482971191","55.6214332189314","NA","59.4217414855957","64.1664546117285","62.3408639225315","65.2714888764112","65.1185413488915","66.4329548486639"
Barbados,"BRB","School enrollment, secondary (% gross)","SE.SEC.ENRR","107.682540893555","107.300071716309","NA","NA","108.186309814453","108.196029663086","108.310737609863","109.804237365723","108.216751098633","106.086326599121","104.318992614746"
Belarus,"BLR","School enrollment, secondary (% gross)","SE.SEC.ENRR","111.028998547015","108.98986744867","107.657786407767","104.523124130077","103.510351178762","102.895731001158","102.969005936733","102.480850468241","101.596010989492","100.438744155791","100.575710351095"
Belgium,"BEL","School enrollment, secondary (% gross)","SE.SEC.ENRR","160.66047668457","159.349304199219","160.110534667969","161.845886230469","162.421981811523","164.079818725586","160.689270019531","158.670288085938","156.509765625","156.635375976562","151.727508544922"
Belize,"BLZ","School enrollment, secondary (% gross)","SE.SEC.ENRR","75.6223037349759","76.1272789038614","78.8095397154118","80.6694303700292","80.3583033664053","81.2936199454549","87.7313726328389","86.323893201399","86.2833561409511","87.4526596660355","86.1886596150512"
Benin,"BEN","School enrollment, secondary (% gross)","SE.SEC.ENRR","NA","45.7294692993164","NA","52.0378494262695","52.5952682495117","55.1333084106445","55.2945899963379","NA","NA","NA","43.9858703613281"
Bermuda,"BMU","School enrollment, secondary (% gross)","SE.SEC.ENRR","89.5964279174805","88.0554428100586","86.2392807006836","85.0652008056641","85.4845428466797","86.8070526123047","NA","NA","NA","NA","NA"
Bhutan,"BTN","School enrollment, secondary (% gross)","SE.SEC.ENRR","62.9354400634766","66.9861221313477","72.1302185058594","76.680793762207","84.1404190063477","85.2313079833984","85.6766128540039","86.5600433349609","87.5722870683987","90.6185575459377","89.7711428873908"
Bolivia,"BOL","School enrollment, secondary (% gross)","SE.SEC.ENRR","87.7601876397411","85.300407946135","87.0108512162742","88.7650557098116","89.4564819756877","90.6139031958796","90.6152852803158","89.4000212849504","88.7218999579042","88.8235046622532","88.8672369779995"
Bosnia and Herzegovina,"BIH","School enrollment, secondary (% gross)","SE.SEC.ENRR","85.5183715820312","87.7279968261719","90.7853088378906","92.2983932495117","90.2868576049805","85.716178894043","83.1699523925781","83.668083190918","85.6409912109375","85.5401306152344","85.5591125488281"
Botswana,"BWA","School enrollment, secondary (% gross)","SE.SEC.ENRR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Brazil,"BRA","School enrollment, secondary (% gross)","SE.SEC.ENRR","NA","NA","94.5829467773438","104.086219787598","102.780311584473","101.086227416992","102.692901611328","102.989486694336","104.818481445312","103.667556762695","103.882659912109"
British Virgin Islands,"VGB","School enrollment, secondary (% gross)","SE.SEC.ENRR","105.89769744873","98.2626469085335","97.9949874686717","96.7221135029354","96.8795709410044","99.2168379833578","98.6420950533463","88.7795275590551","65.9177456207159","71.8634001484781","73.9501779359431"
