Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","3220106328.48488","3379300593.72277","3082566274.74875","3093374667.64216","3126634221.25481","3190252208.23729","3250638805.25052","3516165312.49715","3580182992.50924","3439517492.8687","3458672379.25823"
Algeria,"DZA","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","69492491456.7345","69102375090.0099","76390860299.7095","84546301549.1037","91443841633.6522","97083592007.2763","97185615582.6087","95021648408.3913","93700348804.7013","91191275338.1142","81771760194.2719"
American Samoa,"ASM","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"AND","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","25236747707.7337","26974642116.2209","29228791764.1812","29339101622.7236","30999549423.6031","29848861283.0348","27571772887.2355","21813169061.3255","21809257145.2883","22801661776.3069","17251631308.1321"
Antigua and Barbuda,"ATG","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"ARG","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","95946771647.2003","111387236082.203","98928498895.7575","103547495760.094","97103185691.3638","101527895313.53","96366224812.4992","111257073625.268","100301480488.223","80271355307.756","75124751401.7186"
Armenia,"ARM","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","3013623382.61255","2772146107.38835","2452605253.11935","2276017674.89476","2260085551.25807","2187762813.61408","1997427448.66545","2203162475.88871","2963253530.16697","2539508275.43834","2526810734.04834"
Aruba,"ABW","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","NA","NA","NA","NA","NA","638176536.312849","NA","NA","NA","NA","NA"
Australia,"AUS","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","NA","NA","NA","NA","NA","355034523612.42","NA","NA","NA","NA","NA"
Austria,"AUT","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","81927900178.34","88923770763.0665","88608926241.9102","87597259030.794","88506591152.8553","91137089719.1988","95292476638.7596","99256982703.1836","105460560191.384","104842990794.275","99147382534.1719"
Azerbaijan,"AZE","Gross capital formation (constant 2015 US$)","NE.GDI.TOTL.KD","NA","NA","NA","NA","NA","14815472727.9116","NA","NA","NA","NA","NA"
