Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","43.159","43.213","43.258","43.301","43.368","42.906","42.457","42.014","40.466","38.913","36.71"
Albania,"ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","47.426","51.857","49.371","44.101","43.775","45.955","48.477","50.152","52","53.392","52.458"
Algeria,"DZA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","39.174","39.006","38.38","38.663","38.255","37.701","38.015","37.246","37.16","37.011","32.686"
American Samoa,"ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","64.438","64.35","64.296","64.119","63.952","63.638","63.321","63.045","62.812","62.644","61.078"
Antigua and Barbuda,"ATG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","55.544","56.297","56.005","55.705","55.123","54.744","54.247","53.899","54.101","54.355","49.602"
Armenia,"ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","49.862","50.142","50.772","51.339","50.761","50.3","50.783","50.581","49.697","48.002","50.125"
Aruba,"ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Australia,"AUS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","62.066","62.184","61.836","61.343","60.849","61.135","61.242","61.599","62.286","62.689","60.87"
Austria,"AUT","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","56.952","57.131","57.252","57.122","56.758","56.73","57.015","57.292","57.914","58.121","57.224"
Azerbaijan,"AZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","57.437","57.873","58.398","58.82","59.68","60.386","61.419","61.787","62.195","61.966","62.356"
"Bahamas, The","BHS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","63.185","63.09","63.451","61.872","63.669","65.065","64.63","66.891","66.868","67.455","59.901"
Bahrain,"BHR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","70.934","70.327","70.727","70.702","70.355","70.528","71.12","71.534","71.214","70.545","68.004"
Bangladesh,"BGD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","56.597","55.941","55.3","54.649","54.308","53.972","53.65","55.778","56.3","56.791","56.459"
Barbados,"BRB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","61.533","60.96","59.738","60.404","58.266","59.018","60.616","60.463","60.246","59.465","56.424"
