Country Name,"Country Code","Series Name","Series Code","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","12.142","12.101","12.124","12.215","12.367","12.59","12.902","13.289","13.714","14.163","14.604","15.034","15.969","16.94","17.945","18.985","20.061","19.489","18.756","16.412"
Albania,"ALB","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","46.077","44.755","41.944","39.181","36.487","33.882","31.386","29.017","30.066","27.674","36.183","27.882","19.228","20.487","23.085","26.346","25.249","27.704","29.845","28.211"
Algeria,"DZA","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","12.191","11.64","11.111","10.603","10.116","9.648","9.2","8.771","8.36","8.93","8.836","8.743","8.651","8.56","8.8","7.998","7.964","7.935","7.912","6.89"
American Samoa,"ASM","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"AND","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","59.373","59.231","59.13","59.011","58.899","58.823","58.756","58.728","58.764","58.786","57.343","56.949","56.551","56.148","55.741","55.331","54.918","54.502","54.083","50.81"
Antigua and Barbuda,"ATG","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"ARG","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","39.939","39.674","39.767","39.858","36.95","38.446","36.769","35.112","34.217","32.577","32.089","31.587","31.075","30.599","30.751","30.91","31.068","32.547","32.119","27.772"
Armenia,"ARM","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","40.132","40.132","40.132","40.132","40.132","40.132","40.132","38.811","41.641","41.054","40.035","38.704","38.109","37.447","36.866","36.766","35.553","34.75","31.69","31.751"
Aruba,"ABW","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Australia,"AUS","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","69.064","68.223","69.008","69.073","69.566","69.486","69.689","69.471","67.729","67.19","67.468","66.778","66.258","66.237","66.706","66.358","66.353","67.556","67.533","65.916"
Austria,"AUT","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","50.147","51.011","49.742","53.167","54.391","54.372","56.289","56.426","56.49","54.229","55.058","55.563","55.446","55.625","54.307","54.788","53.872","54.038","52.69","53.196"
Azerbaijan,"AZE","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","51.96","51.204","48.892","44.221","46.081","43.93","37.26","33.81","37.78","41.67","36.921","32.412","33.743","34.615","36.261","39.222","41.175","43.068","42.852","45.583"
"Bahamas, The","BHS","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","51.945","52.145","52.346","52.546","52.746","52.946","53.146","53.346","53.546","53.746","53.946","54.145","54.345","54.544","54.743","54.942","55.141","55.339","55.538","49.147"
Bahrain,"BHR","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","28.374","28.874","29.379","29.89","29.228","28.574","27.93","27.294","26.667","26.05","23.41","24.468","25.557","26.678","27.83","27.661","27.513","27.467","27.485","26.097"
Bangladesh,"BGD","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","23.525","23.445","23.292","23.103","22.9","22.64","25.419","28.313","31.298","34.348","35.357","36.218","36.939","32.462","27.937","23.488","26.638","31.411","35.765","40.461"
Barbados,"BRB","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","55.382","54.702","54.02","51.67","51.353","51.036","50.719","50.402","50.084","49.767","49.45","42.47","41.82","46.1","37.981","42.956","39.471","40.49","41.947","40.072"
Belarus,"BLR","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","41.479","41.76","42.041","42.322","42.604","42.887","43.17","43.453","43.737","44.021","44.306","44.591","44.876","45.162","45.448","45.735","47.733","44.393","44.557","43.286"
Belgium,"BEL","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","29.956","30.24","28.814","32.155","32.328","31.935","31.56","30.776","29.929","29.766","29.783","27.906","28.245","28.078","27.117","26.153","25.449","27.746","29.45","26.527"
